game_id,season,date,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue
400986320,2017,2017-11-10,Duke Blue Devils,Elon Phoenix,97,68,45.0,25.0,52.0,43.0,False,Cameron Indoor Stadium
400986324,2017,2017-11-10,Michigan State Spartans,North Florida Ospreys,98,66,52.0,26.0,46.0,40.0,False,Breslin Center
400988189,2017,2017-11-10,Arizona Wildcats,Northern Arizona Lumberjacks,101,67,49.0,36.0,52.0,31.0,False,McKale Memorial Center
400989174,2017,2017-11-10,Kansas Jayhawks,Tennessee State Tigers,92,56,56.0,27.0,36.0,29.0,False,Allen Fieldhouse
400988413,2017,2017-11-10,Villanova Wildcats,Columbia Lions,75,60,32.0,23.0,43.0,37.0,False,Xfinity Mobile Arena
400987931,2017,2017-11-10,Wichita State Shockers,Kansas City Roos,109,57,62.0,23.0,47.0,34.0,False,Charles Koch Arena
400986021,2017,2017-11-10,North Carolina Tar Heels,Northern Iowa Panthers,86,69,45.0,31.0,41.0,38.0,False,Dean E. Smith Center
400988193,2017,2017-11-10,USC Trojans,Cal State Fullerton Titans,84,42,42.0,15.0,42.0,27.0,False,Galen Center
400986704,2017,2017-11-10,Miami Hurricanes,Gardner-Webb Runnin' Bulldogs,77,45,27.0,23.0,50.0,22.0,False,Watsco Center
400986325,2017,2017-11-10,Minnesota Golden Gophers,South Carolina Upstate Spartans,92,77,43.0,33.0,49.0,44.0,False,Williams Arena
400988411,2017,2017-11-10,Xavier Musketeers,Morehead State Eagles,101,49,62.0,24.0,39.0,25.0,False,Cintas Center
400986877,2017,2017-11-10,Gonzaga Bulldogs,Texas Southern Tigers,97,69,52.0,31.0,45.0,38.0,False,McCarthey Athletic Center
400986326,2017,2017-11-10,Northwestern Wildcats,Loyola Maryland Greyhounds,79,75,37.0,24.0,42.0,51.0,False,Allstate Arena
400986329,2017,2017-11-10,Purdue Boilermakers,SIU Edwardsville Cougars,105,74,52.0,32.0,53.0,42.0,False,Mackey Arena
400986023,2017,2017-11-10,UCLA Bruins,Georgia Tech Yellow Jackets,63,60,35.0,32.0,28.0,28.0,True,Baoshan Sports Center
400986048,2017,2017-11-11,Duke Blue Devils,Utah Valley Wolverines,99,69,48.0,33.0,51.0,36.0,False,Cameron Indoor Stadium
400986049,2017,2017-11-11,DePaul Blue Demons,Notre Dame Fighting Irish,58,72,25.0,29.0,33.0,43.0,False,Wintrust Arena
400990710,2017,2017-11-11,Saint Mary's Gaels,Saint Francis Red Flash,85,68,46.0,36.0,39.0,32.0,False,University Credit Union Pavilion
400987159,2017,2017-11-12,Kentucky Wildcats,Vermont Catamounts,73,69,36.0,24.0,37.0,45.0,False,Rupp Arena
400986050,2017,2017-11-12,Miami Hurricanes,Navy Midshipmen,89,55,41.0,24.0,48.0,31.0,False,Watsco Center
400986687,2017,2017-11-12,Louisville Cardinals,George Mason Patriots,72,61,24.0,27.0,48.0,34.0,False,KFC Yum! Center
400987940,2017,2017-11-13,Wichita State Shockers,Charleston Cougars,81,63,47.0,22.0,34.0,41.0,False,Charles Koch Arena
400987164,2017,2017-11-13,Florida Gators,Gardner-Webb Runnin' Bulldogs,116,74,55.0,32.0,61.0,42.0,False,Stephen C. O'Connell Center
