game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-11-27:alabama_st_hornets:new_mexico_lobos,New Mexico Lobos,Alabama St Hornets,147.5,-20.5,,
2025-11-27:baylor_bears:san_diego_st_aztecs,San Diego St Aztecs,Baylor Bears,149.5,2.25,,
2025-11-27:byu_cougars:miami_hurricanes,Miami Hurricanes,BYU Cougars,164.0,7.5,,
2025-11-27:charlotte_49ers:illinois_st_redbirds,Illinois St Redbirds,Charlotte 49ers,138.0,-5.0,,
2025-11-27:colorado_buffaloes:san_francisco_dons,San Francisco Dons,Colorado Buffaloes,150.5,-1.5,,
2025-11-27:columbia_lions:fairfield_stags,Fairfield Stags,Columbia Lions,147.5,2.5,,
2025-11-27:csu_northridge_matadors:idaho_vandals,Idaho Vandals,CSU Northridge Matadors,161.0,-1.5,,
2025-11-27:denver_pioneers:wyoming_cowboys,Wyoming Cowboys,Denver Pioneers,153.5,-8.25,,
2025-11-27:eastern_michigan_eagles:cincinnati_bearcats,Cincinnati Bearcats,Eastern Michigan Eagles,144.0,-23.0,,
2025-11-27:fresno_st_bulldogs:pepperdine_waves,Pepperdine Waves,Fresno St Bulldogs,148.5,2.0,,
2025-11-27:gonzaga_bulldogs:michigan_wolverines,Michigan Wolverines,Gonzaga Bulldogs,163.75,2.5,,
2025-11-27:grand_canyon_antelopes:iowa_hawkeyes,Iowa Hawkeyes,Grand Canyon Antelopes,144.5,-9.0,,
2025-11-27:houston_christian_huskies:the_citadel_bulldogs,The Citadel Bulldogs,Houston Christian Huskies,137.5,1.0,,
2025-11-27:indiana_st_sycamores:louisiana_tech_bulldogs,Louisiana Tech Bulldogs,Indiana St Sycamores,142.5,-2.5,,
2025-11-27:kansas_jayhawks:tennessee_volunteers,Tennessee Volunteers,Kansas Jayhawks,139.5,-5.5,,
2025-11-27:kennesaw_st_owls:florida_gulf_coast_eagles,Florida Gulf Coast Eagles,Kennesaw St Owls,159.5,-2.5,,
2025-11-27:long_beach_st_49ers:portland_pilots,Portland Pilots,Long Beach St 49ers,149.0,-5.5,,
2025-11-27:maryland_terrapins:alabama_crimson_tide,Alabama Crimson Tide,Maryland Terrapins,165.5,-13.0,,
2025-11-27:michigan_st_spartans:north_carolina_tar_heels,North Carolina Tar Heels,Michigan St Spartans,152.5,0.0,,
2025-11-27:nc_state_wolfpack:texas_longhorns,Texas Longhorns,NC State Wolfpack,161.0,2.5,,
2025-11-27:nevada_wolf_pack:washington_huskies,Washington Huskies,Nevada Wolf Pack,145.5,-4.0,,
2025-11-27:njit_highlanders:louisville_cardinals,Louisville Cardinals,NJIT Highlanders,158.5,-44.5,,
2025-11-27:oregon_ducks:creighton_bluejays,Creighton Bluejays,Oregon Ducks,152.5,-1.5,,
2025-11-27:providence_friars:wisconsin_badgers,Wisconsin Badgers,Providence Friars,166.5,-6.5,,
2025-11-27:rhode_island_rams:temple_owls,Temple Owls,Rhode Island Rams,151.5,3.0,,
2025-11-27:richmond_spiders:furman_paladins,Furman Paladins,Richmond Spiders,148.0,-5.5,,
2025-11-27:se_louisiana_lions:unc_wilmington_seahawks,UNC Wilmington Seahawks,SE Louisiana Lions,138.5,-11.0,,
2025-11-27:se_missouri_st_redhawks:northern_arizona_lumberjacks,Northern Arizona Lumberjacks,SE Missouri St Redhawks,153.5,-2.5,,
2025-11-27:south_dakota_st_jackrabbits:uc_irvine_anteaters,UC Irvine Anteaters,South Dakota St Jackrabbits,142.5,-2.5,,
2025-11-27:southern_illinois_salukis:memphis_tigers,Memphis Tigers,Southern Illinois Salukis,156.5,-10.5,,
2025-11-27:st_bonaventure_bonnies:east_carolina_pirates,East Carolina Pirates,St. Bonaventure Bonnies,145.0,10.5,,
2025-11-27:st_john_s_red_storm:auburn_tigers,Auburn Tigers,St. John's Red Storm,166.0,4.5,,
2025-11-27:tcu_horned_frogs:florida_gators,Florida Gators,TCU Horned Frogs,156.5,-11.5,,
2025-11-27:tennessee_tech_golden_eagles:kentucky_wildcats,Kentucky Wildcats,Tennessee Tech Golden Eagles,157.5,-38.0,,
2025-11-27:unlv_rebels:rutgers_scarlet_knights,Rutgers Scarlet Knights,UNLV Rebels,153.5,4.5,,
2025-11-27:utah_utes:ole_miss_rebels,Ole Miss Rebels,Utah Utes,145.5,-12.0,,
2025-11-27:vanderbilt_commodores:vcu_rams,VCU Rams,Vanderbilt Commodores,163.5,6.5,,
2025-11-27:virginia_tech_hokies:saint_mary_s_gaels,Saint Mary's Gaels,Virginia Tech Hokies,142.5,-4.5,,
2025-11-27:western_kentucky_hilltoppers:south_florida_bulls,South Florida Bulls,Western Kentucky Hilltoppers,170.5,-8.5,,
2025-11-27:wichita_st_shockers:saint_mary_s_gaels,Saint Mary's Gaels,Wichita St Shockers,139.0,-10.5,,
