week,crps_total,crps_margin,covered_80_total,covered_80_margin,raw_covered_80_total,conf_covered_80_total,raw_covered_80_margin,conf_covered_80_margin,raw_width_total,conf_width_total,raw_width_margin,conf_width_margin,alert_low_coverage_total,alert_low_coverage_margin,crps_total_med,crps_margin_med,alert_high_crps_total,alert_high_crps_margin,total_cov_delta,margin_cov_delta,total_width_ratio,margin_width_ratio,conformal_alerts
2025-11-03/2025-11-09,3.165314090440366,1.9752298397089452,0.9029704066634628,0.8281510052186744,,,,,,,,,0,0,3.165314090440366,1.9752298397089452,0,0,,,,,
2025-11-10/2025-11-16,1.308143956017777,1.3472431703815932,0.8936293078832535,0.8848657073836413,,,,,,,,,0,0,2.2367290232290715,1.6612365050452693,0,0,,,,,
2025-11-17/2025-11-23,1.365140072253891,1.324972045612865,0.904826121704138,0.9357268886662996,,,,,,,,,0,0,1.365140072253891,1.3472431703815932,0,0,,,,,
2025-11-24/2025-11-30,4.384760415524803,3.724467859754104,0.855078377641029,0.8341416350086114,,,,,,,,,0,0,2.2652270813471285,1.6612365050452693,1,1,,,,,
2025-12-01/2025-12-07,4.941821796052931,2.7559793197831466,0.12030075187969924,0.14285714285714285,,,,,,,,,1,1,2.874950243889347,2.05161124508237,1,1,,,,,
2025-12-08/2025-12-14,,,0.0,0.0,,,,,,,,,1,1,4.384760415524803,2.7559793197831466,0,0,,,,,
2025-12-15/2025-12-21,21.154899329980733,27.33852556231914,0.07962529274004683,0.08430913348946135,,,,,,,,,1,1,4.941821796052931,3.724467859754104,1,1,,,,,
2025-12-22/2025-12-28,,,0.0,0.0,,,,,,,,,1,1,13.048360563016832,15.047252441051144,0,0,,,,,
2025-12-29/2026-01-04,,,0.0,0.0,,,,,,,,,1,1,21.154899329980733,27.33852556231914,0,0,,,,,
2026-01-05/2026-01-11,,,0.0,0.0,,,,,,,,,1,1,21.154899329980733,27.33852556231914,0,0,,,,,
2026-01-12/2026-01-18,,,0.0,0.0,,,,,,,,,1,1,,,0,0,,,,,
2026-01-19/2026-01-25,,,0.0,0.0,,,,,,,,,1,1,,,0,0,,,,,
