game_id,season,date,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue
401168156,2019,2019-11-05,Miami Hurricanes,Louisville Cardinals,74,87,26.0,45.0,48.0,42.0,False,Watsco Center
401169796,2019,2019-11-05,Florida Gators,North Florida Ospreys,74,59,39.0,22.0,35.0,37.0,False,Stephen C. O'Connell Center
401166020,2019,2019-11-05,Maryland Terrapins,Holy Cross Crusaders,95,71,51.0,39.0,44.0,32.0,False,XFINITY Center
401175199,2019,2019-11-05,Gonzaga Bulldogs,Alabama State Hornets,95,64,42.0,30.0,53.0,34.0,False,McCarthey Athletic Center
401169778,2019,2019-11-05,Villanova Wildcats,Army Black Knights,97,54,49.0,26.0,48.0,28.0,False,Finneran Pavilion
401168441,2019,2019-11-05,Seton Hall Pirates,Wagner Seahawks,105,71,52.0,37.0,53.0,34.0,False,Walsh Gymnasium
401169597,2019,2019-11-05,Texas Tech Red Raiders,Eastern Illinois Panthers,85,60,46.0,31.0,39.0,29.0,False,United Supermarkets Arena
401170001,2019,2019-11-05,Memphis Tigers,South Carolina State Bulldogs,97,64,50.0,32.0,47.0,32.0,False,FedExForum
401170555,2019,2019-11-05,Oregon Ducks,Fresno State Bulldogs,71,57,38.0,27.0,33.0,30.0,False,Matthew Knight Arena
401169593,2019,2019-11-05,Baylor Bears,Central Arkansas Bears,105,61,53.0,32.0,52.0,29.0,False,Ferrell Center
401166408,2019,2019-11-05,Utah State Aggies,Montana State Bobcats,81,73,37.0,34.0,44.0,39.0,False,Dee Glen Smith Spectrum
401169787,2019,2019-11-05,Xavier Musketeers,Jacksonville Dolphins,76,57,43.0,22.0,33.0,35.0,False,Cintas Center
401175202,2019,2019-11-05,Wisconsin Badgers,Saint Mary's Gaels,63,65,24.0,30.0,30.0,24.0,True,Sanford Pentagon
401169797,2019,2019-11-05,Auburn Tigers,Georgia Southern Eagles,83,74,41.0,37.0,42.0,37.0,False,Neville Arena
401170102,2019,2019-11-05,VCU Rams,Saint Francis Red Flash,72,58,36.0,22.0,36.0,36.0,False,Siegel Center
401168159,2019,2019-11-06,North Carolina Tar Heels,Notre Dame Fighting Irish,76,65,30.0,31.0,46.0,34.0,False,Dean E. Smith Center
401168161,2019,2019-11-06,Syracuse Orange,Virginia Cavaliers,34,48,19.0,25.0,15.0,23.0,False,JMA Wireless Dome
401166022,2019,2019-11-06,Ohio State Buckeyes,Cincinnati Bearcats,64,56,19.0,26.0,45.0,30.0,False,Value City Arena
401166414,2019,2019-11-06,Arizona Wildcats,Northern Arizona Lumberjacks,91,52,44.0,22.0,47.0,30.0,False,McKale Memorial Center
401166023,2019,2019-11-06,Purdue Boilermakers,Green Bay Phoenix,79,57,35.0,22.0,44.0,35.0,False,Mackey Arena
401177913,2019,2019-11-07,Omaha Mavericks,Midland University Midland,72,53,30.0,21.0,42.0,32.0,False,Baxter Arena
401175030,2019,2019-11-07,Morehead State Eagles,Spalding Pelicans,92,44,41.0,22.0,51.0,22.0,False,Ellis T. Johnson Arena
401176777,2019,2019-11-07,Purdue Fort Wayne Mastodons,Manchester Spartans,91,80,50.0,32.0,41.0,48.0,False,Memorial Coliseum (IN)
401175914,2019,2019-11-07,Marshall Thundering Herd,Robert Morris Colonials,67,60,33.0,27.0,34.0,33.0,False,Cam Henderson Center
401174698,2019,2019-11-07,App State Mountaineers,Ferrum Panthers,83,56,47.0,24.0,36.0,32.0,False,Holmes Convocation Center
401171546,2019,2019-11-07,Hartford Hawks,Winthrop Eagles,57,67,28.0,34.0,29.0,33.0,False,Chase Arena
401171520,2019,2019-11-07,Clemson Tigers,Presbyterian Blue Hose,79,45,43.0,21.0,36.0,24.0,False,Littlejohn Coliseum
401170342,2019,2019-11-07,North Florida Ospreys,Florida National Conquistadors,89,81,38.0,35.0,51.0,46.0,False,UNF Arena
401166024,2019,2019-11-07,Rutgers Scarlet Knights,Bryant Bulldogs,73,71,38.0,30.0,35.0,41.0,False,Jersey Mike’s Arena
401176061,2019,2019-11-07,Samford Bulldogs,Kentucky Wesleyan Panthers,68,42,33.0,21.0,35.0,21.0,False,Pete Hanna Center
401177959,2019,2019-11-07,South Dakota State Jackrabbits,Peru State PERU STATE,86,58,42.0,28.0,44.0,30.0,False,Frost Arena
401177442,2019,2019-11-07,North Dakota State Bison,Mayville St Comets,93,53,44.0,32.0,49.0,21.0,False,Scheels Center
401176813,2019,2019-11-07,North Dakota Fighting Hawks,Crown College Polars,86,61,48.0,31.0,38.0,30.0,False,Betty Engelstad Sioux Center
401176395,2019,2019-11-07,Central Arkansas Bears,Hendrix College Warriors,71,51,25.0,11.0,46.0,40.0,False,Farris Center
401174699,2019,2019-11-07,Troy Trojans,UAB Blazers,75,76,30.0,26.0,45.0,50.0,False,Trojan Arena
401170343,2019,2019-11-07,Drake Bulldogs,Kennesaw State Owls,86,55,39.0,19.0,47.0,36.0,False,Knapp Center
401169599,2019,2019-11-07,TCU Horned Frogs,Southwestern (TX) Pirates,83,62,43.0,38.0,40.0,24.0,False,Schollmaier Arena
401170559,2019,2019-11-07,Washington State Cougars,Seattle U Redhawks,85,54,43.0,21.0,42.0,33.0,False,Beasley Coliseum
401166415,2019,2019-11-07,Air Force Falcons,Idaho State Bengals,79,89,31.0,42.0,48.0,47.0,False,Clune Arena
401171629,2019,2019-11-07,UC Davis Aggies,Jessup University Warriors,109,63,51.0,32.0,58.0,31.0,False,University Credit Union Center
401169808,2019,2019-11-08,Kentucky Wildcats,Eastern Kentucky Colonels,91,49,46.0,25.0,45.0,24.0,False,Rupp Arena
401169601,2019,2019-11-08,Kansas Jayhawks,UNC Greensboro Spartans,74,62,36.0,32.0,38.0,30.0,False,Allen Fieldhouse
401168162,2019,2019-11-08,Duke Blue Devils,Colorado State Rams,89,55,42.0,26.0,47.0,29.0,False,Cameron Indoor Stadium
401168164,2019,2019-11-08,UNC Wilmington Seahawks,North Carolina Tar Heels,62,78,29.0,40.0,33.0,38.0,False,Trask Coliseum
401166417,2019,2019-11-08,Utah State Aggies,Weber State Wildcats,89,34,48.0,13.0,41.0,21.0,False,Dee Glen Smith Spectrum
401169788,2019,2019-11-08,Xavier Musketeers,Siena Saints,81,63,42.0,33.0,39.0,30.0,False,Cintas Center
401169810,2019,2019-11-08,LSU Tigers,Bowling Green Falcons,88,79,46.0,36.0,42.0,43.0,False,Pete Maravich Assembly Center
401170106,2019,2019-11-08,VCU Rams,North Texas Mean Green,59,56,31.0,21.0,28.0,35.0,False,Siegel Center
401166028,2019,2019-11-09,Maryland Terrapins,Rhode Island Rams,73,55,35.0,32.0,38.0,23.0,False,XFINITY Center
401175206,2019,2019-11-09,Gonzaga Bulldogs,Arkansas-Pine Bluff Golden Lions,110,60,56.0,30.0,54.0,30.0,False,McCarthey Athletic Center
401168442,2019,2019-11-09,Seton Hall Pirates,Stony Brook Seawolves,74,57,31.0,33.0,43.0,24.0,False,Walsh Gymnasium
401169606,2019,2019-11-09,Texas Tech Red Raiders,Bethune-Cookman Wildcats,79,44,40.0,19.0,39.0,25.0,False,United Supermarkets Arena
401170563,2019,2019-11-09,Oregon Ducks,Boise State Broncos,106,75,48.0,30.0,58.0,45.0,False,Matthew Knight Arena
401166030,2019,2019-11-09,Purdue Boilermakers,Texas Longhorns,66,70,34.0,31.0,32.0,39.0,False,Mackey Arena
401166054,2019,2019-11-10,Michigan State Spartans,Binghamton Bearcats,100,47,54.0,23.0,46.0,24.0,False,Breslin Center
401168168,2019,2019-11-10,Florida Gators,Florida State Seminoles,51,63,21.0,25.0,30.0,38.0,False,Stephen C. O'Connell Center
401168171,2019,2019-11-10,Virginia Cavaliers,James Madison Dukes,65,34,31.0,23.0,34.0,11.0,False,John Paul Jones Arena
401166055,2019,2019-11-10,Ohio State Buckeyes,UMass Lowell River Hawks,76,56,38.0,25.0,38.0,31.0,False,Value City Arena
401169934,2019,2019-11-10,Arizona Wildcats,Illinois Fighting Illini,90,69,39.0,38.0,51.0,31.0,False,McKale Memorial Center
401171548,2019,2019-11-11,Saint Mary's Gaels,Winthrop Eagles,59,61,25.0,26.0,34.0,35.0,False,University Credit Union Pavilion
