game_id,season,date,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue
401482947,2022,2022-11-07,North Carolina Tar Heels,UNC Wilmington Seahawks,69,56,32.0,21.0,37.0,35.0,False,Dean E. Smith Center
401497505,2022,2022-11-07,Gonzaga Bulldogs,North Florida Ospreys,104,63,53.0,23.0,51.0,40.0,False,McCarthey Athletic Center
401489651,2022,2022-11-07,Houston Cougars,Northern Colorado Bears,83,36,32.0,13.0,51.0,23.0,False,Fertitta Center
401494401,2022,2022-11-07,Kentucky Wildcats,Howard Bison,95,63,49.0,26.0,46.0,37.0,False,Rupp Arena
401483265,2022,2022-11-07,Baylor Bears,Mississippi Valley State Delta Devils,117,53,61.0,21.0,56.0,32.0,False,Ferrell Center
401483275,2022,2022-11-07,Kansas Jayhawks,Omaha Mavericks,89,64,46.0,33.0,43.0,31.0,False,Allen Fieldhouse
401482906,2022,2022-11-07,Duke Blue Devils,Jacksonville Dolphins,71,44,42.0,26.0,29.0,18.0,False,Cameron Indoor Stadium
401483461,2022,2022-11-07,UCLA Bruins,Sacramento State Hornets,76,50,39.0,25.0,37.0,25.0,False,Pauley Pavilion
401485099,2022,2022-11-07,Creighton Bluejays,St. Thomas-Minnesota Tommies,72,60,40.0,35.0,32.0,25.0,False,CHI Health Center Omaha
401489571,2022,2022-11-07,Arkansas Razorbacks,North Dakota State Bison,76,58,34.0,26.0,42.0,32.0,False,Bud Walton Arena
401483235,2022,2022-11-07,Tennessee Volunteers,Tennessee Tech Golden Eagles,75,43,27.0,16.0,48.0,27.0,False,Food City Center
401483308,2022,2022-11-07,Texas Longhorns,UTEP Miners,72,57,33.0,20.0,39.0,37.0,False,Moody Center
401483344,2022,2022-11-07,Indiana Hoosiers,Morehead State Eagles,88,53,41.0,29.0,47.0,24.0,False,Simon Skjodt Assembly Hall
401483298,2022,2022-11-07,TCU Horned Frogs,Arkansas-Pine Bluff Golden Lions,73,72,35.0,46.0,38.0,26.0,False,Schollmaier Arena
401483039,2022,2022-11-07,Auburn Tigers,George Mason Patriots,70,52,31.0,24.0,39.0,28.0,False,Neville Arena
401484362,2022,2022-11-07,Villanova Wildcats,La Salle Explorers,81,68,37.0,23.0,44.0,45.0,False,Finneran Pavilion
401494933,2022,2022-11-07,Arizona Wildcats,Nicholls Colonels,117,75,59.0,37.0,58.0,38.0,False,McKale Memorial Center
401482983,2022,2022-11-07,Virginia Cavaliers,North Carolina Central Eagles,73,61,38.0,30.0,35.0,31.0,False,John Paul Jones Arena
401491799,2022,2022-11-07,San Diego State Aztecs,Cal State Fullerton Titans,80,57,32.0,25.0,48.0,32.0,False,Viejas Arena
401488380,2022,2022-11-07,Alabama Crimson Tide,Longwood Lancers,75,54,34.0,26.0,41.0,28.0,False,Coleman Coliseum
401483365,2022,2022-11-07,Michigan Wolverines,Purdue Fort Wayne Mastodons,75,56,40.0,28.0,35.0,28.0,False,Crisler Center
401483337,2022,2022-11-07,Illinois Fighting Illini,Eastern Illinois Panthers,87,57,46.0,31.0,41.0,26.0,False,State Farm Center
401487612,2022,2022-11-07,Dayton Flyers,Lindenwood Lions,73,46,35.0,21.0,38.0,25.0,False,UD Arena
401483319,2022,2022-11-07,Texas Tech Red Raiders,Northwestern State Demons,73,49,42.0,23.0,31.0,26.0,False,United Supermarkets Arena
