date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-04,401804912,Louisiana Tech Bulldogs,New Mexico State Aggies,2026-02-04 19:30,2026-02-05T00:30:00Z,EST,1,1,0,5,7.35875,7.11875,14.4775,0.24,3.0,7.0,11.0,3.0,7.0,11.0,9.0,14.0,20.09999999999991,-5.0,0.0,5.0,7.35875,7.11875,11.899851490816802,0.24,3.0,7.0,11.0,3.0,7.0,11.0,6.4223514908168005,11.4223514908168,17.52235149081671,-5.0,0.0,5.0,8.222,8.21825,16.44025,11.0,16.0,22.0,1.433,1.43925,2.87225,1.0,3.0,5.0,1.545,1.61825,3.16325,1.0,3.0,6.0,3.8235,3.8555,7.679,4.0,8.0,11.0,2.169,2.1065,4.2755,2.0,4.0,7.0
2026-02-04,401804912,Louisiana Tech Bulldogs,New Mexico State Aggies,2026-02-04 19:30,2026-02-05T00:30:00Z,EST,2,1,5,10,7.374,7.14675,14.52075,0.22725,4.0,7.0,11.0,3.0,7.0,11.0,9.0,14.0,21.0,-5.0,0.0,5.0,14.73275,14.2655,24.029782996947542,0.46725,9.0,15.0,21.0,8.0,14.0,21.0,14.031532996947536,24.031532996947536,34.03153299694754,-7.0,0.0,8.0,8.20625,8.248,16.45425,11.0,16.0,22.0,1.4445,1.46175,2.90625,1.0,3.0,5.0,1.534,1.5755,3.1095,1.0,3.0,6.0,3.90425,3.805,7.70925,4.0,8.0,11.0,2.14525,2.15275,4.298,2.0,4.0,7.0
2026-02-04,401804912,Louisiana Tech Bulldogs,New Mexico State Aggies,2026-02-04 19:30,2026-02-05T00:30:00Z,EST,3,1,10,15,7.4105,7.13475,14.54525,0.27575,3.0,7.0,12.0,3.0,7.0,11.0,9.0,14.0,21.0,-5.0,0.0,5.0,22.14325,21.40025,36.49432170062805,0.743,14.0,22.0,31.0,13.0,21.0,30.0,22.95082170062804,35.95082170062804,49.95082170062805,-9.0,1.0,10.0,8.2755,8.23225,16.50775,11.0,16.0,22.0,1.4405,1.4335,2.874,1.0,3.0,5.0,1.54175,1.59375,3.1355,1.0,3.0,6.0,3.805,3.8705,7.6755,4.0,7.0,12.0,2.165,2.166,4.331,2.0,4.0,7.0
2026-02-04,401804912,Louisiana Tech Bulldogs,New Mexico State Aggies,2026-02-04 19:30,2026-02-05T00:30:00Z,EST,4,1,15,20,7.44225,7.11925,14.5615,0.323,4.0,7.0,12.0,3.0,7.0,11.0,9.0,14.0,21.0,-5.0,0.0,6.0,29.5855,28.5195,58.15977726598812,1.066,19.0,29.0,40.0,18.0,28.0,39.0,41.05477726598811,58.05477726598811,75.05477726598812,-11.0,1.0,13.0,8.22175,8.227,16.44875,11.0,16.0,22.0,1.43675,1.42925,2.866,1.0,3.0,5.0,1.58125,1.6355,3.21675,1.0,3.0,6.0,3.8675,3.84775,7.71525,4.0,8.0,11.0,2.19025,2.14625,4.3365,2.0,4.0,7.0
2026-02-04,401804912,Louisiana Tech Bulldogs,New Mexico State Aggies,2026-02-04 19:30,2026-02-05T00:30:00Z,EST,5,2,20,25,9.306,9.964,19.27,-0.658,5.0,9.0,14.0,6.0,10.0,14.0,13.0,19.0,26.0,-6.0,-1.0,5.0,38.8915,38.4835,69.41081404366022,0.408,28.0,39.0,50.0,27.900000000000038,38.0,49.0,52.035814043660224,69.03581404366021,87.03581404366022,-13.0,0.0,13.0,8.708,8.58825,17.29625,12.0,17.0,23.0,1.49025,1.49475,2.985,1.0,3.0,5.0,1.619,1.635,3.254,1.0,3.0,6.0,4.02425,3.98375,8.008,4.0,8.0,12.0,2.2635,2.25625,4.51975,2.0,4.0,7.0
2026-02-04,401804912,Louisiana Tech Bulldogs,New Mexico State Aggies,2026-02-04 19:30,2026-02-05T00:30:00Z,EST,6,2,25,30,9.2495,10.0655,19.315,-0.816,5.0,9.0,14.0,6.0,10.0,15.0,13.0,19.0,26.0,-7.0,-1.0,5.0,48.141,48.549,89.47497863247588,-0.408,36.0,48.0,60.0,37.0,48.0,61.0,70.78497863247588,88.78497863247588,107.78497863247588,-15.0,0.0,14.0,8.46225,8.55025,17.0125,12.0,17.0,23.0,1.46975,1.48225,2.952,1.0,3.0,5.0,1.63525,1.62875,3.264,1.0,3.0,6.0,3.96675,4.0235,7.99025,4.0,8.0,12.0,2.24225,2.26475,4.507,2.0,4.0,7.0
2026-02-04,401804912,Louisiana Tech Bulldogs,New Mexico State Aggies,2026-02-04 19:30,2026-02-05T00:30:00Z,EST,7,2,30,35,9.25625,10.033,19.28925,-0.77675,5.0,9.0,14.0,6.0,10.0,15.0,13.0,19.0,26.0,-6.0,-1.0,5.0,57.39725,58.582,110.37020792266978,-1.18475,45.0,57.0,71.0,46.0,58.0,72.0,89.39095792266978,110.39095792266978,131.39095792266977,-17.0,-1.0,14.0,8.5855,8.6155,17.201,12.0,17.0,23.0,1.518,1.521,3.039,1.0,3.0,5.0,1.59725,1.629,3.22625,1.0,3.0,6.0,4.04025,4.02875,8.069,4.0,8.0,12.0,2.24675,2.2435,4.49025,2.0,4.0,7.0
2026-02-04,401804912,Louisiana Tech Bulldogs,New Mexico State Aggies,2026-02-04 19:30,2026-02-05T00:30:00Z,EST,8,2,35,40,9.28075,9.98225,19.263,-0.7015,5.0,9.0,14.0,6.0,10.0,15.0,13.0,19.0,26.0,-6.0,-1.0,5.0,66.678,68.56425,135.24225,-1.88625,53.0,66.0,81.0,55.0,68.0,83.0,113.0,135.0,158.0,-19.0,-2.0,15.0,8.54925,8.551,17.10025,12.0,17.0,23.0,1.52475,1.49625,3.021,1.0,3.0,5.0,1.6015,1.64825,3.24975,1.0,3.0,6.0,4.02825,3.96,7.98825,4.0,8.0,12.0,2.26375,2.27975,4.5435,2.0,4.0,7.0
2026-02-04,401804913,Sam Houston Bearkats,UTEP Miners,,,,1,1,0,5,7.653,7.4955,15.1485,0.1575,4.0,7.0,12.0,4.0,7.0,11.0,9.0,15.0,21.0,-5.0,0.0,5.0,7.653,7.4955,12.570851490816809,0.1575,4.0,7.0,12.0,4.0,7.0,11.0,6.4223514908168005,12.4223514908168,18.4223514908168,-5.0,0.0,5.0,8.70375,8.70875,17.4125,12.0,17.0,23.0,1.51675,1.50025,3.017,1.0,3.0,5.0,1.63675,1.66275,3.2995,1.0,3.0,6.0,4.0585,4.0915,8.15,5.0,8.0,12.0,2.22575,2.28775,4.5135,2.0,4.0,7.0
2026-02-04,401804913,Sam Houston Bearkats,UTEP Miners,,,,2,1,5,10,7.6195,7.51475,15.13425,0.10475,4.0,7.0,12.0,4.0,7.0,12.0,9.0,15.0,21.0,-5.0,0.0,5.0,15.2725,15.01025,25.314282996947547,0.26225,9.0,15.0,22.0,9.0,15.0,21.0,16.031532996947536,25.03153299694754,36.03153299694754,-7.0,0.0,8.0,8.68525,8.7115,17.39675,12.0,17.0,23.0,1.5385,1.5065,3.045,1.0,3.0,5.0,1.62925,1.648,3.27725,1.0,3.0,6.0,4.0115,4.07775,8.08925,5.0,8.0,12.0,2.268,2.2405,4.5085,2.0,4.0,7.0
